ano,rubrica,valor_rs_milhares,arquivo_fonte,pagina_fonte,localizador_fonte,tratamento
2020,Caixa e equivalentes,25735856,Demonstracao_Financeira_FGTS_2021.docx,,BP Controladora; tabelas 1 e 2,publicado
2020,TVM circulante,8835744,Demonstracao_Financeira_FGTS_2021.docx,,BP Controladora; tabelas 1 e 2,publicado
2020,TVM não circulante,96195932,Demonstracao_Financeira_FGTS_2021.docx,,BP Controladora; tabelas 1 e 2,publicado
2020,Financiamentos circulantes,45084460,Demonstracao_Financeira_FGTS_2021.docx,,BP Controladora; tabelas 1 e 2,publicado
2020,Financiamentos não circulantes,352235494,Demonstracao_Financeira_FGTS_2021.docx,,BP Controladora; tabelas 1 e 2,publicado
2020,Outros empréstimos e recebíveis,9093925,Demonstracao_Financeira_FGTS_2021.docx,,BP Controladora; tabelas 1 e 2,publicado
2020,Demais ativos,28512654,Demonstracao_Financeira_FGTS_2021.docx,,BP Controladora; tabelas 1 e 2,residual do ativo
2020,Ativo total,565694065,Demonstracao_Financeira_FGTS_2021.docx,,BP Controladora; tabelas 1 e 2,publicado
2020,Passivo total,452560025,Demonstracao_Financeira_FGTS_2021.docx,,BP Controladora; tabelas 1 e 2,publicado
2020,Patrimônio líquido,113134040,Demonstracao_Financeira_FGTS_2021.docx,,BP Controladora; tabelas 1 e 2,publicado
2020,Depósitos vinculados,450871389,Demonstracao_Financeira_FGTS_2021.docx,,BP Controladora; tabelas 1 e 2,publicado
2021,Caixa e equivalentes,29137964,Demonstracao_Financeira_FGTS_2023-v6.pdf,1,BP Controladora,reapresentado
2021,TVM circulante,22835792,Demonstracao_Financeira_FGTS_2023-v6.pdf,1,BP Controladora,reapresentado
2021,TVM não circulante,121468869,Demonstracao_Financeira_FGTS_2023-v6.pdf,1,BP Controladora,reapresentado
2021,Financiamentos circulantes,43098124,Demonstracao_Financeira_FGTS_2023-v6.pdf,1,BP Controladora,reapresentado
2021,Financiamentos não circulantes,365751372,Demonstracao_Financeira_FGTS_2023-v6.pdf,1,BP Controladora,reapresentado
2021,Outros empréstimos e recebíveis,8633990,Demonstracao_Financeira_FGTS_2023-v6.pdf,1,BP Controladora,reapresentado
2021,Demais ativos,22557653,Demonstracao_Financeira_FGTS_2023-v6.pdf,1,BP Controladora,residual do ativo
2021,Ativo total,613483764,Demonstracao_Financeira_FGTS_2023-v6.pdf,1,BP Controladora,reapresentado
