ano_referencia,territorio,componente,faixa,deficit_domicilios
2022,Norte,precaria,faixa_1,295896
2022,Norte,precaria,faixa_2,23781
2022,Norte,precaria,faixa_3,9153
2022,Norte,precaria,acima_faixa_3,2432
2022,Norte,precaria,total,331262
2022,Norte,coabitacao,faixa_1,97562
2022,Norte,coabitacao,faixa_2,72160
2022,Norte,coabitacao,faixa_3,58706
2022,Norte,coabitacao,acima_faixa_3,28973
2022,Norte,coabitacao,total,257402
2022,Norte,onus_aluguel,faixa_1,167438
2022,Norte,onus_aluguel,faixa_2,17227
2022,Norte,onus_aluguel,faixa_3,0
2022,Norte,onus_aluguel,acima_faixa_3,0
2022,Norte,onus_aluguel,total,184665
2022,Norte,deficit_total,faixa_1,560896
2022,Norte,deficit_total,faixa_2,113168
2022,Norte,deficit_total,faixa_3,67860
2022,Norte,deficit_total,acima_faixa_3,31405
2022,Norte,deficit_total,total,773329
2022,Nordeste,precaria,faixa_1,660743
2022,Nordeste,precaria,faixa_2,28158
2022,Nordeste,precaria,faixa_3,14028
2022,Nordeste,precaria,acima_faixa_3,328
2022,Nordeste,precaria,total,703256
2022,Nordeste,coabitacao,faixa_1,148955
2022,Nordeste,coabitacao,faixa_2,114495
2022,Nordeste,coabitacao,faixa_3,86143
2022,Nordeste,coabitacao,acima_faixa_3,16860
2022,Nordeste,coabitacao,total,366454
2022,Nordeste,onus_aluguel,faixa_1,657418
2022,Nordeste,onus_aluguel,faixa_2,33904
2022,Nordeste,onus_aluguel,faixa_3,0
2022,Nordeste,onus_aluguel,acima_faixa_3,0
2022,Nordeste,onus_aluguel,total,691322
2022,Nordeste,deficit_total,faixa_1,1467116
2022,Nordeste,deficit_total,faixa_2,176557
2022,Nordeste,deficit_total,faixa_3,100171
2022,Nordeste,deficit_total,acima_faixa_3,17188
2022,Nordeste,deficit_total,total,1761032
2022,Sudeste,precaria,faixa_1,299515
2022,Sudeste,precaria,faixa_2,18775
2022,Sudeste,precaria,faixa_3,12534
2022,Sudeste,precaria,acima_faixa_3,6088
2022,Sudeste,precaria,total,336911
2022,Sudeste,coabitacao,faixa_1,103633
2022,Sudeste,coabitacao,faixa_2,105263
2022,Sudeste,coabitacao,faixa_3,166832
2022,Sudeste,coabitacao,acima_faixa_3,108604
2022,Sudeste,coabitacao,total,484332
2022,Sudeste,onus_aluguel,faixa_1,1330520
2022,Sudeste,onus_aluguel,faixa_2,291878
2022,Sudeste,onus_aluguel,faixa_3,0
2022,Sudeste,onus_aluguel,acima_faixa_3,0
2022,Sudeste,onus_aluguel,total,1622398
2022,Sudeste,deficit_total,faixa_1,1733668
2022,Sudeste,deficit_total,faixa_2,415915
2022,Sudeste,deficit_total,faixa_3,179366
2022,Sudeste,deficit_total,acima_faixa_3,114692
