ano,fonte,faixa_codigo,contratos,contratos_subsidio_observado,contratos_com_subsidio,financiamento_observado,financiamento,subsidio_total,subsidio_fgts,subsidio_ogu
2009,FGTS,1,90978,90978,90309,90978,2433197617.83,1342996135.1,1172805856.6875,170190278.4125
2009,FGTS,2,155202,155202,144484,155202,8221668306.25,1993285715.74,1731993044.33675,261292671.40325
2009,FGTS,3,33416,33416,0,33416,2251618586.15,0.0,0.0,0.0
2009,FGTS,Sem classificação,2361,2361,0,2361,210081681.84,0.0,0.0,0.0
2010,FGTS,1,172552,172552,171806,172552,6832836831.28,3527774906.86,2799339696.075,728435210.785
2010,FGTS,2,205939,205939,191735,205939,13667257875.7,2928951840.295,2354868290.495,574083549.8
2010,FGTS,3,20102,20102,0,20102,1573270439.95,0.0,0.0,0.0
2010,FGTS,Sem classificação,64,64,64,64,2998041.03,1177982.495,1177982.495,0.0
2011,FGTS,1,131901,131901,126883,131901,5937161154.34,1702461609.0925,1205223552.66275,497238056.42975
2011,FGTS,2,244247,244247,185273,244247,17440861227.94,1463104246.335,988680058.0715001,474424188.2635
2011,FGTS,3,30743,30743,0,30743,2757357900.33,0.0,0.0,0.0
2011,FGTS,Sem classificação,80,80,55,80,5467922.63,949301.64,949301.64,0.0
2012,FGTS,1,101339,101339,101128,101339,4811469469.47,2619147371.325,2226222418.747,392924952.578
2012,FGTS,2,273197,273197,265167,273197,20707245213.89,5430772936.9800005,4593259159.65125,837513777.32875
2012,FGTS,3,39390,39390,0,39390,3816397133.58,0.0,0.0,0.0
2012,FGTS,Sem classificação,72,72,48,72,5773161.21,870033.6,870033.6,0.0
2013,FGTS,1,89922,89922,89712,89922,5184084615.41,2694945934.0625,2280881452.406,414064481.65650004
2013,FGTS,2,297344,297344,295085,297344,24628907162.95,6831606146.2725,5778924378.04725,1052681768.22525
2013,FGTS,3,54723,54723,0,54723,5777708390.93,0.0,0.0,0.0
2014,FGTS,1,86278,86278,86124,86278,5732491944.99,2649312391.04,2218210626.3537498,431101764.68625003
2014,FGTS,2,294132,294132,291833,294132,25848227672.92,6823312345.32,5762020268.55725,1061292076.76275
2014,FGTS,3,60472,60472,2,60472,6773172599.13,39942.0,39942.0,0.0
2015,FGTS,1,138501,138501,138274,138501,10519937156.460001,4238115589.739,3532104657.76425,706010931.97475
2015,FGTS,2,227635,227635,213311,227635,22024536620.52,4556934238.95,3850317465.7495,706616773.2005
2015,FGTS,3,52255,52255,0,52255,6288405528.68,0.0,0.0,0.0
2016,FGTS,1,78279,78279,78202,78279,5947047500.35,2477505611.15,2196581060.39525,280924550.75475
2016,FGTS,2,232972,232972,230001,232972,23162707976.010002,4882451845.69,4365061571.8965,517390273.7935
2016,FGTS,3,77174,77174,6922,77174,9855148250.08,141861354.56,127898080.0605,13963274.4995
2017,FGTS,1,84427,84427,84361,84427,6676055027.52,3310612091.8500004,2994696649.79,315915442.06
2017,FGTS,2,255162,255162,250322,255162,26523890986.09,5794094819.57,5269980221.77,524114597.8
2017,FGTS,3,64843,64843,236,64843,8818119186.83,7822620.649999999,7822620.649999999,0.0
2018,FGTS,1,67139,67139,67139,67139,5745535286.1,3094200598.2400002,2784780482.9300003,309420115.31
2018,FGTS,2,286709,286709,284223,286709,29644332934.61,7164598312.190001,6486020783.39,678577528.8
2018,FGTS,3,63912,63912,0,63912,8549328101.65,0.0,0.0,0.0
2019,FGTS,1,32193,32193,32193,32193,2731771266.05,1368871063.5600002,1287766862.2940001,81104201.266
2019,FGTS,2,289601,289601,287555,289601,30284616693.48,6928317653.780001,6561662466.495001,366655187.285
2019,FGTS,3,65443,65443,0,65443,8793386819.75,0.0,0.0,0.0
2020,FGTS,1,48593,48593,48543,48593,4122363272.5,1916583825.4600003,1880256739.2,36327086.26
2020,FGTS,2,267159,267159,266582,267159,29708875040.99,6250748276.46,6028557942.081,222190334.379
2020,FGTS,3,49185,49185,0,49185,6962794797.59,0.0,0.0,0.0
2020,FGTS,Sem classificação,22243,22243,14731,22243,2128550693.94,224238623.96,224212686.04,25937.920000000002
2021,FGTS,1,81705,81705,81585,81705,7229877917.79,3354521343.02,3354521343.02,0.0
2021,FGTS,2,220570,220570,212997,220570,25642039566.25,3742228816.52,3742228816.52,0.0
2021,FGTS,3,50984,50984,0,50984,7419734598.26,0.0,0.0,0.0
2022,FGTS,1,63346,63346,63250,63346,5812041339.04,2825888046.32,2825888046.32,0.0
2022,FGTS,2,214032,214032,206774,214032,25970821151.06,4158120399.6,4158120399.6,0.0
2022,FGTS,3,93436,93436,7220,93436,14409470488.59,14904178.61,14904178.61,0.0
2022,FGTS,Sem classificação,13,13,5,13,1055232.51,82133.9,82133.9,0.0
2023,FGTS,1,180632,180632,179926,180632,20667835707.89,7709079134.83,7709079134.83,0.0
2023,FGTS,2,144062,144062,136257,144062,21001489565.4,1240892034.58,1240892034.58,0.0
2023,FGTS,3,127898,127898,0,127898,22946842147.0,0.0,0.0,0.0
2024,FGTS,1,215341,215341,214419,215341,26481248427.59,10003728749.71,10003728749.71,0.0
2024,FGTS,2,164491,164491,160618,164491,25787333345.12,1498876485.44,1498876485.44,0.0
2024,FGTS,3,206978,206978,0,206978,41762928345.54,0.0,0.0,0.0
2025,FGTS,1,238416,238416,237507,238416,31236209723.24,10229454463.43,10229454463.43,0.0
2025,FGTS,2,193963,193963,174884,193963,32056615981.46,1369422865.24,1369422865.24,0.0
2025,FGTS,3,154875,154875,0,154875,33911183570.22,0.0,0.0,0.0
2025,FGTS,4,27872,27872,0,27872,7278101721.21,0.0,0.0,0.0
2025,Fundo Social,3,44001,44001,0,44001,8820830031.31,0.0,0.0,0.0
2026,FGTS,1,132235,132235,131638,132235,18017704535.51,5929698358.93,5929698358.93,0.0
2026,FGTS,2,92556,92556,55640,92556,16151695345.23,458744413.03,458744413.03,0.0
2026,FGTS,3,63635,63635,0,63635,15002077979.87,0.0,0.0,0.0
2026,FGTS,4,24850,24850,0,24850,6816248166.0,0.0,0.0,0.0
2026,Fundo Social,3,83593,83593,0,83593,17882325867.57,0.0,0.0,0.0
