ano,fonte,volume,modalidade,unidade
2009,FGTS,90978,Faixa 1 financiada (FGTS/FS),Operações financiadas
2009,FAR/OGU (proxy),146944,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2010,FGTS,172552,Faixa 1 financiada (FGTS/FS),Operações financiadas
2010,FAR/OGU (proxy),250814,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2011,FGTS,131901,Faixa 1 financiada (FGTS/FS),Operações financiadas
2011,FAR/OGU (proxy),82045,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2012,FGTS,101339,Faixa 1 financiada (FGTS/FS),Operações financiadas
2012,FAR/OGU (proxy),301344,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2013,FGTS,89922,Faixa 1 financiada (FGTS/FS),Operações financiadas
2013,FAR/OGU (proxy),361638,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2014,FGTS,86278,Faixa 1 financiada (FGTS/FS),Operações financiadas
2014,FAR/OGU (proxy),122411,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2015,FGTS,138501,Faixa 1 financiada (FGTS/FS),Operações financiadas
2015,FAR/OGU (proxy),1336,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2016,FGTS,78279,Faixa 1 financiada (FGTS/FS),Operações financiadas
2016,FAR/OGU (proxy),5820,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2017,FGTS,84427,Faixa 1 financiada (FGTS/FS),Operações financiadas
2017,FAR/OGU (proxy),22180,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2018,FGTS,67139,Faixa 1 financiada (FGTS/FS),Operações financiadas
2018,FAR/OGU (proxy),68685,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2019,FGTS,32193,Faixa 1 financiada (FGTS/FS),Operações financiadas
2019,FAR/OGU (proxy),1500,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2020,FGTS,48593,Faixa 1 financiada (FGTS/FS),Operações financiadas
2021,FGTS,81705,Faixa 1 financiada (FGTS/FS),Operações financiadas
2022,FGTS,63346,Faixa 1 financiada (FGTS/FS),Operações financiadas
2023,FGTS,180632,Faixa 1 financiada (FGTS/FS),Operações financiadas
2024,FGTS,215341,Faixa 1 financiada (FGTS/FS),Operações financiadas
2024,FAR/OGU (proxy),101357,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2025,FGTS,238416,Faixa 1 financiada (FGTS/FS),Operações financiadas
2025,FAR/OGU (proxy),29824,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
2026,FGTS,132235,Faixa 1 financiada (FGTS/FS),Operações financiadas
2026,FAR/OGU (proxy),11980,"Faixa 1 subsidiada (FAR, proxy por UH)",Unidades habitacionais contratadas
