ano,fonte,valor_total_financiado
2009,FGTS,13116566192.07
2009,OGU,6311722287.0
2010,FGTS,22076363187.96
2010,OGU,12876700495.82
2011,FGTS,26140848205.24
2011,OGU,5015172189.96
2012,FGTS,29340884978.15
2012,OGU,20769179528.19
2013,FGTS,35590700169.29
2013,OGU,30222442856.27
2014,FGTS,38353892217.039986
2014,OGU,11770762915.12
2015,FGTS,38832879305.66
2015,OGU,1540099046.82
2016,FGTS,38964903726.439995
2016,OGU,2283190399.75
2017,FGTS,42018065200.44001
2017,OGU,1952667024.04
2018,FGTS,43939196322.36001
2018,OGU,7520600797.17
2019,FGTS,41809774779.28001
2019,OGU,139840505.43
2020,FGTS,42922583805.02
2021,FGTS,40291652082.3
2022,FGTS,46193388211.2
2023,FGTS,64616167420.29001
2024,FGTS,94031510118.24998
2024,OGU,18454104479.48
2025,FGTS,104482110996.12999
2025,Fundo Social,8820830031.31
2025,OGU,18595116484.94
2026,FGTS,55987726026.61
2026,Fundo Social,17882325867.57
2026,OGU,2672428530.62
