trimestre_codigo,total_ocupados,com_carteira_fgts,taxa_formalizacao_fgts,taxa_formalizacao_privado_only,ano,trimestre
201201,87713,37519,0.42774731225702006,0.7557437587068527,2012,1
201202,89318,38240,0.4281331870395665,0.7573291669379164,2012,2
201203,89958,38586,0.42893350230107385,0.757077390894685,2012,3
201204,90209,38981,0.4321187464665388,0.7636200487117036,2012,4
201301,89298,38723,0.4336379314206365,0.7642917124216781,2013,1
201302,90419,39052,0.4319003749212002,0.7660618996798293,2013,2
201303,90982,39434,0.43342639203358907,0.7677294115164687,2013,3
201304,91683,39974,0.4360023123152602,0.7730953180063769,2013,4
201401,90947,40213,0.44215861985552024,0.7789953187648256,2014,1
201402,91573,40645,0.4438535376147991,0.7833493382322241,2014,2
201403,91827,40525,0.4413190020364381,0.7835784879451078,2014,3
201404,92340,40449,0.4380441845354126,0.779284085441118,2014,4
201501,91312,39926,0.43724811634834415,0.7843074493737063,2015,1
201502,91553,39695,0.43357399539064806,0.7831090765182792,2015,2
201503,91466,39185,0.42841055692825747,0.779110401656672,2015,3
201504,91585,39292,0.4290222197958181,0.7813434452871073,2015,4
201601,89909,38429,0.42742105907083827,0.7824724395448079,2016,1
201602,89827,37988,0.42290180012691064,0.775231193313178,2016,2
201603,88939,37595,0.4227054498026737,0.7702157085814986,2016,3
201604,89239,37353,0.41857259718284606,0.7652417971621411,2016,4
201701,87880,36637,0.41689804278561676,0.7685301149948764,2017,1
201702,89163,36651,0.41105615558022945,0.7600433574961046,2017,2
201703,90176,36626,0.4061612845990064,0.7547860044437462,2017,3
201704,91066,36646,0.40241143785825667,0.7515828428749777,2017,4
201801,89691,36287,0.4045779398155891,0.7557051238470778,2018,1
201802,90212,36258,0.40191992196160153,0.750282154304546,2018,2
201803,91607,36415,0.39751329046906897,0.7428812768133016,2018,3
201804,92152,36458,0.39562896084729576,0.7427736709309017,2018,4
201901,91203,36365,0.3987259191035383,0.7483294222818192,2019,1
201902,92662,36755,0.3966566661630442,0.7431861212628241,2019,2
201903,93191,36560,0.3923125623719029,0.7373159831756047,2019,3
201904,93920,37096,0.3949744463373083,0.7400082139074422,2019,4
202001,91523,36420,0.3979327600712389,0.7502728467380894,2020,1
202002,82610,33377,0.40403098898438444,0.7766048574019954,2020,2
202003,81954,32554,0.3972228323205701,0.7644556962025316,2020,3
202004,85669,33250,0.388121724311011,0.7498423630984139,2020,4
202101,85497,33223,0.3885867340374516,0.7542563600782779,2021,1
202102,87743,33878,0.38610487446292013,0.7513393284224624,2021,2
202103,91265,35266,0.38641319235194216,0.7409047769693136,2021,3
202104,93988,36406,0.3873473209345874,0.7343817976159401,2021,4
202201,93523,36727,0.39270553767522426,0.7400880102317313,2022,1
202202,96445,37773,0.39165327388667115,0.7326726463024524,2022,2
202203,97435,38284,0.39291835582696155,0.7325137682803573,2022,3
202204,97517,38959,0.39950982905544674,0.7353444412759197,2022,4
202301,95978,38732,0.40355081372814605,0.741034788526179,2023,1
202302,97038,38880,0.4006677796327212,0.737011127475045,2023,2
202303,97938,39388,0.40217280320202575,0.7378298292648512,2023,3
202304,99062,40052,0.4043124507883952,0.7371058469339249,2023,4
202401,98290,40047,0.4074371757045478,0.7393894858096165,2024,1
202402,99883,40571,0.40618523672697054,0.7353194151223708,2024,2
202403,101058,41053,0.4062320647548932,0.7308111831907687,2024,3
202404,101832,41374,0.4062966454552596,0.7341972669669441,2024,4
202501,100511,41491,0.4128005889902598,0.7454689187104735,2025,1
202502,102316,42082,0.4112944212048946,0.7424037748054567,2025,2
202503,102433,42176,0.4117423096072555,0.7439880139584282,2025,3
202504,102998,42399,0.41164876987902677,0.7439309850115151,2025,4
202601,101976,41948,0.4113516905938652,0.7467919995423952,2026,1
202602,103057,42277,0.41022929058676266,0.7439371921414687,2026,2
