ano,rubrica,valor_rs_milhares,arquivo_fonte,pagina_fonte
2025,Descontos concedidos,11538915,Demonstracao_Financeira_FGTS_2025.pdf,2
2025,Despesas de depósitos vinculados,32159888,Demonstracao_Financeira_FGTS_2025.pdf,2
2025,Taxa de administração,3400736,Demonstracao_Financeira_FGTS_2025.pdf,2
2025,Despesas administrativas,97666,Demonstracao_Financeira_FGTS_2025.pdf,2
2025,Outras despesas operacionais e administrativas,2630839,Demonstracao_Financeira_FGTS_2025.pdf,2
2024,Descontos concedidos,11388468,Demonstracao_Financeira_FGTS_2025.pdf,2
2024,Despesas de depósitos vinculados,22382635,Demonstracao_Financeira_FGTS_2025.pdf,2
2024,Taxa de administração,3105759,Demonstracao_Financeira_FGTS_2025.pdf,2
2024,Despesas administrativas,82790,Demonstracao_Financeira_FGTS_2025.pdf,2
2024,Outras despesas operacionais e administrativas,1976051,Demonstracao_Financeira_FGTS_2025.pdf,2
2023,Descontos concedidos,8782467,Demonstracao_Financeira_FGTS_2023-v6.pdf,2
2023,Despesas de depósitos vinculados,26068869,Demonstracao_Financeira_FGTS_2023-v6.pdf,2
2023,Taxa de administração,2883513,Demonstracao_Financeira_FGTS_2023-v6.pdf,2
2023,Despesas administrativas,89386,Demonstracao_Financeira_FGTS_2023-v6.pdf,2
2023,Outras despesas operacionais e administrativas,262423,Demonstracao_Financeira_FGTS_2023-v6.pdf,2
2022,Descontos concedidos,6319165,Demonstracao_Financeira_FGTS_2023-v6.pdf,2
2022,Despesas de depósitos vinculados,22926672,Demonstracao_Financeira_FGTS_2023-v6.pdf,2
2022,Taxa de administração,2697253,Demonstracao_Financeira_FGTS_2023-v6.pdf,2
2022,Despesas administrativas,79541,Demonstracao_Financeira_FGTS_2023-v6.pdf,2
2022,Outras despesas operacionais e administrativas,4912100,Demonstracao_Financeira_FGTS_2023-v6.pdf,2
2021,Descontos concedidos,7315745,DEMONSTRACAO_FINANCEIRA_FGTS_2021.pdf,2
2021,Despesas de depósitos vinculados,14041567,DEMONSTRACAO_FINANCEIRA_FGTS_2021.pdf,2
2021,Taxa de administração,2643000,DEMONSTRACAO_FINANCEIRA_FGTS_2021.pdf,2
2021,Despesas administrativas,74703,DEMONSTRACAO_FINANCEIRA_FGTS_2021.pdf,2
2021,Outras despesas operacionais e administrativas,1918624,DEMONSTRACAO_FINANCEIRA_FGTS_2021.pdf,2
2020,Descontos concedidos,8209966,DEMONSTRACAO_FINANCEIRA_FGTS_2021.pdf,2
2020,Despesas de depósitos vinculados,12973603,DEMONSTRACAO_FINANCEIRA_FGTS_2021.pdf,2
2020,Taxa de administração,2640801,DEMONSTRACAO_FINANCEIRA_FGTS_2021.pdf,2
2020,Despesas administrativas,72766,DEMONSTRACAO_FINANCEIRA_FGTS_2021.pdf,2
2020,Outras despesas operacionais e administrativas,1683794,DEMONSTRACAO_FINANCEIRA_FGTS_2021.pdf,2
