ano,rubrica,valor_rs_milhares,arquivo_fonte,pagina_fonte
2024,Caixa inicial,28386508,Demonstracao_Financeira_FGTS_2025.pdf,3
2024,Atividades operacionais,-43030210,Demonstracao_Financeira_FGTS_2025.pdf,3
2024,Atividades de investimento,19395511,Demonstracao_Financeira_FGTS_2025.pdf,3
2024,Atividades de financiamento,31602250,Demonstracao_Financeira_FGTS_2025.pdf,3
2024,Caixa final,36354059,Demonstracao_Financeira_FGTS_2025.pdf,3
2025,Caixa inicial,36354059,Demonstracao_Financeira_FGTS_2025.pdf,3
2025,Atividades operacionais,-38324111,Demonstracao_Financeira_FGTS_2025.pdf,3
2025,Atividades de investimento,13286626,Demonstracao_Financeira_FGTS_2025.pdf,3
2025,Atividades de financiamento,22149582,Demonstracao_Financeira_FGTS_2025.pdf,3
2025,Caixa final,33466156,Demonstracao_Financeira_FGTS_2025.pdf,3
