ano,modalidade,percentual
2020,Demissão sem Justa Causa,60.3
2020,Habitação,13.9
2020,Aposentadoria,10.2
2020,Saque-aniversário,7.6
2020,Outras modalidades,8.0
2021,Demissão sem Justa Causa,48.9
2021,Habitação,19.0
2021,Aposentadoria,9.3
2021,Saque-aniversário,15.1
2021,Outras modalidades,7.7
2022,Demissão sem Justa Causa,33.3
2022,Habitação,12.7
2022,Aposentadoria,8.1
2022,Saque-aniversário,17.3
2022,Saque extraordinário,19.5
2022,Outras modalidades,9.1
2023,Demissão sem Justa Causa,41.5
2023,Habitação,16.2
2023,Aposentadoria,9.3
2023,Saque-aniversário,26.8
2023,Saque extraordinário,0.0
2023,Outras modalidades,6.2
