ano,faixa_codigo,vlr_subsidio_desconto_fgts,vlr_subsidio_desconto_ogu,vlr_subsidio_equilíbrio_fgts,vlr_subsidio_equilíbrio_ogu
2009,1,607794013.6875,106317754.4125,565011843.0,63872524.0
2009,2,526864386.8,131152181.35,1205128657.53675,130140490.05325
2009,3,0.0,0.0,0.0,0.0
2009,Sem classificação,0.0,0.0,0.0,0.0
2010,1,1607618189.46,440989833.78499997,1191721506.615,287445377.0
2010,2,827524894.235,258242957.8,1527343396.26,315840592.0
2010,3,0.0,0.0,0.0,0.0
2010,Sem classificação,772436.9650000001,0.0,405545.52999999997,0.0
2011,1,1199197755.38,497238056.42975,6025797.28275,0.0
2011,2,976169322.6025,474417566.87775,12510735.469,6621.38575
2011,3,0.0,0.0,0.0,0.0
2011,Sem classificação,480684.75,0.0,468616.89,0.0
2012,1,1160155228.1255,387922867.179,1066067190.6215,5002085.399
2012,2,1570079830.19975,821447676.4545,3023179329.4515,16066100.87425
2012,3,0.0,0.0,0.0,0.0
2012,Sem classificação,418328.25,0.0,451705.35000000003,0.0
2013,1,1124861336.72,211358047.67,1156020115.6859999,202706433.98650002
2013,2,1844546583.8165,372673355.206,3934377794.23075,680008413.01925
2013,3,0.0,0.0,0.0,0.0
2014,1,1099773111.155,220019926.575,1118437515.19875,211081838.11125
2014,2,1847373179.495,378836448.815,3914647089.0622497,682455627.94775
2014,3,7942.0,0.0,32000.0,0.0
2015,1,1707761405.515,348319844.025,1824343252.24925,357691087.94975
2015,2,976822589.855,202893424.785,2873494875.8945,503723348.41550004
2015,3,0.0,0.0,0.0,0.0
2016,1,1024180761.175,133527601.925,1172400299.22025,147396948.82975
2016,2,1341978200.2,168939240.4,3023083371.6965,348451033.3935
2016,3,0.0,0.0,127898080.0605,13963274.4995
2017,1,1477383450.25,158840794.42000002,1517313199.54,157074647.64
2017,2,1544012698.8,166299106.4,3725967522.9700003,357815491.4
2017,3,0.0,0.0,7822620.649999999,0.0
2018,1,1519082298.9,168786922.1,1265698184.03,140633193.21
2018,2,1966344270.4,213588180.8,4519676512.990001,464989348.0
2018,3,0.0,0.0,0.0,0.0
2019,1,652418610.34,42002756.76,635348251.954,39101444.506
2019,2,1839993681.801,110938823.339,4721668784.694,255716363.946
2019,3,0.0,0.0,0.0,0.0
2020,1,886444359.7,18527982.8,993812379.5,17799103.46
2020,2,1585244017.71,64263711.3,4443313924.371,157926623.079
2020,3,0.0,0.0,0.0,0.0
2020,Sem classificação,6353524.5,7223.0,217859161.54,18714.92
2021,1,1392522535.0,0.0,1961998808.02,0.0
2021,2,970295606.0,0.0,2771933210.52,0.0
2021,3,0.0,0.0,0.0,0.0
2022,1,1690434022.42,0.0,1135454023.9,0.0
2022,2,1823824666.55,0.0,2334295733.05,0.0
2022,3,14904178.61,0.0,0.0,0.0
2022,Sem classificação,32986.0,0.0,49147.899999999994,0.0
2023,1,4028895614.69,0.0,3680183520.14,0.0
2023,2,455526982.21,0.0,785365052.37,0.0
2023,3,0.0,0.0,0.0,0.0
2024,1,4869835368.17,0.0,5133893381.54,0.0
2024,2,396620069.69,0.0,1102256415.75,0.0
2024,3,0.0,0.0,0.0,0.0
2025,1,4596900031.06,0.0,5632554432.37,0.0
2025,2,327607348.17,0.0,1041815517.07,0.0
2025,3,0.0,0.0,0.0,0.0
2025,4,0.0,0.0,0.0,0.0
2026,1,2885643284.25,0.0,3044055074.68,0.0
2026,2,78884523.74000001,0.0,379859889.28999996,0.0
2026,3,0.0,0.0,0.0,0.0
2026,4,0.0,0.0,0.0,0.0
